ID,title,author,translator,categoryID,price,publisher,publishYear,numOfPages,weight (g),soldAmount,stockQuantity
87,Bách khoa Tri Th?c Thai S?n T?p 1 - Ð? Sinh Con Kh?e M?nh & Thông Minh,"Tuy?t Minh, Thu Hà",,5,"29,000",Ph? N?,2010,191,220,0,30
88,Bách Khoa Tri Th?c - Khám Phá Khoa H?c,"Bramblekids, David Mostyn",Ph?m Danh Vi?t,5,"34,000",Dân Trí,2022,46,150,0,30
89,Bách Khoa Tri Th?c - Khám Phá Trái Ð?t,"Bramblekids, David Mostyn",Ph?m Danh Vi?t,5,"34,000",Dân Trí,2022,46,150,0,30
90,Bách Khoa Tri Th?c - Khám Phá Co Th? Ngu?i,"Bramblekids, David Mostyn",Ph?m Danh Vi?t,5,"34,000",Dân Trí,2022,46,150,0,30
91,Bách Khoa Tri Th?c Cham Sóc Con Tr? Toàn Di?n,Truong Xuân C?o,,5,"55,000",T? Ði?n Bách Khoa,2013,375,500,0,30
92,Bách Khoa Tri Th?c B?ng Hình (Tái B?n 2015),nhi?u tác gi?,,5,"491,000",Dân Trí,2015,800,3525,0,30
93,Bách Khoa Tri Th?c - Khám Phá Các Lo?i Máy Móc,"Bramblekids, David Mostyn",Ph?m Danh Vi?t,5,"34,000",Dân Trí,2022,46,150,0,30
94,T? Sách Bách Khoa Tri Th?c - Th?i Ti?t Là Gì?,DK,Thùy Duong,5,"111,000",Hà N?i,2022,75,100,0,30
95,Bách Khoa Tri Th?c Cho Tr? Em - Khám Phá Và Sáng T?o,Kingfisher,Nguy?n Th? Nga,5,"370,000",Dân Trí,2022,320,400,0,30
96,Bách Khoa Tri Th?c - Các Phát Minh Làm Nên L?ch S?,"Bramblekids, David Mostyn",Ph?m Danh Vi?t,5,"34,000",Dân Trí,2022,46,150,0,30
97,10 V?n Câu H?i Vì Sao? - Bách Khoa Tri Th?c Ph? Thông,Thanh Hu?,,5,"156,000",M? Thu?t,2022,275,1101,0,30
98,500 D? Ki?n Khoa H?c V? Th? Gi?i Tuy?t Ch?ng,T? Sách Bách Khoa Tri Th?c,,5,"150,000",Tr?,2013,216,1200,0,30
99,Bách Khoa Tri Th?c B?ng Hình Cho Tr? Em (Bìa C?ng),"Lý Tinh, Quách Ngân Tinh",Luu Hoài Thu,5,"168,000",M? Thu?t,2020,212,1300,0,30
100,Infographics - Bách Khoa Tri Th?c B?ng Ð? H?a Cho Tr? Em - Các L?c Ð?a,Harriet Brundle,Minh Trang,5,"39,000",Thanh Niên,2022,32,200,0,30
101,Bách Khoa Tri Th?c B?ng Hình Cho Tr? Em - Th? Gi?i Kh?ng Long,Kidbooks - Louis Phùng,,5,"62,000",Ph? N? Vi?t Nam,2021,67,297,0,30
102,Bách Khoa Tri Th?c - Khám Phá Vu Tr? - Explore The Space,Bramblekids,Ph?m Danh Vi?t,5,"44,000",Dân Trí,2024,47,100,0,30
103,Bách Khoa Tri Th?c - Khám Phá Trái Ð?t - Explore The Earth,Bramblekids,Ph?m Danh Vi?t,5,"44,000",Dân Trí,2024,47,100,0,30
104,Bách Khoa Tri Th?c Cho Tr? Em - Van Hóa Ngh? Thu?t (Bìa C?ng),Luu Kim Song - Lý Van Hân,Ð? Kim Ngân,5,"96,000",M? Thu?t,2019,80,800,0,30
105,Bách Khoa Tri Th?c Cho Tr? Em - Cu?c S?ng Thu?ng Ngày (Bìa C?ng),Luu Kim Song - Lý Van Hân,Ð? Kim Ngân,5,"96,000",M? Thu?t,2019,80,800,0,30
106,Bách Khoa Tri Th?c V? Các K? Quan Th? Gi?i - K? Quan T? Nhiên,"Molly Oldfield, Federica Bordoni",Thu Trang,5,"120,000",Hà N?i,2022,220,220,0,30
107,Bách Khoa Tri Th?c Cho Tr? Em - Câu H?i Và Tr? L?i (Tái B?n),nhi?u tác gi?,nhi?u d?ch gi?,5,"275,000",Dân Trí,2018,398,500,0,30
